1,,"Завтраки","2010-05-03 17:14:00","2010-05-03 17:15:21"
2,,"Салаты","2010-05-03 17:14:18","2010-05-03 17:15:27"
3,,"Закуски","2010-05-03 17:14:52","2010-05-03 17:14:52"
4,,"Горячее","2010-05-03 17:15:03","2010-05-03 17:15:39"
5,,"Гарниры","2010-05-03 17:15:51","2010-05-03 17:15:51"
6,,"Напитки","2010-05-03 17:16:03","2010-05-03 17:16:03"
7,6,"Безалкогольные","2010-05-03 17:16:12","2010-05-03 17:16:12"
8,7,"Кофе","2010-05-03 17:16:26","2010-05-03 17:16:26"
9,7,"Чай","2010-05-03 17:16:32","2010-05-03 17:16:32"
10,7,"Соки","2010-05-03 17:16:53","2010-05-03 17:16:53"
11,7,"Молочные коктели","2010-05-03 17:17:23","2010-05-03 17:17:23"
13,6,"Алкогольные","2010-05-09 09:43:24","2010-05-09 09:43:24"
14,13,"Алкогольные_Коктели","2010-05-09 09:43:37","2010-05-09 10:41:19"
